4E9C (亜): アジア,次のランク,後に来ます,〜の特徴を持つ | Asia,rank next,come after,-ous
8ABE (誾): 優しく話する,敬意を表する | speak gently,respectful
8AC3 (諃):  | 
8AC6 (諆): カンニングする | to cheat
8AC8 (諈):  | 
8AC9 (諉): 責任転嫁,他人に責任を置く | pass buck,lay blame on others
8ACA (諊): 司法捜査を作るために | to male a judicial investigation
8AD1 (諑): 中傷,ゴシップ,噂 | slander,gossip,rumors
8AD3 (諓):  | 
8AD4 (諔):  | 
8AD5 (諕): 威嚇する | to intimidate
8AD7 (諗): 慎重にとのご相談,弁護士 | consult carefully with,counsel
8ADD (諝): 知識,差別,裏切り | knowledge,discrimination,treachery
8ADF (諟): 検討する,検討する,正直な | to examine,to consider,honest
8AEC (諬): 開く,始める,説明する,通知する,文字 | to open,to begin,to explain,to inform,letter
8AF0 (諰):  | 
8AF4 (諴): 調和しました,合意の上で | in harmony,in agreement
8AF5 (諵): つぶやき | mutter
8AF6 (諶): 誠実,忠実な,姓 | sincere,faithful,surname
8AFC (諼): 忘れる,うそ,カンニング,欺く | forget,lie,cheat,deceive
8AFF (諿):  | 
8B05 (謅): 言葉で遊びます,気の利いた言葉,話のナンセンス | play with words,quip,talk nonsense
8B06 (謆): 欺く,なだめる | beguile,cajole
8B0B (謋):  | 
8B11 (謑): 恥,不名誉 | shame,disgrace
8B1C (謜):  | 
8B1E (謞):  | 
8B1F (謟): 平坦,容疑者,不確実なこと,疑問に思う | flatter,suspect,be uncertain,doubt
8B0A (謊): うそ | lie
8B2D (謭): 浅い,愚か | shallow,stupid
8B30 (謰):  | 
8B37 (謷): 中傷,明らかにしました,巨大,大きい | slander,to revile,huge,big
8B3C (謼): 叫ぶこと,弔うため,起動する | to shout,to mourn,to invoke
8B42 (譂):  | 
8B43 (譃):  | 
8B44 (譄):  | 
8B45 (譅): 蠢動 | wriggling
8B46 (譆): 悲鳴 | scream
8B48 (譈): 嫌い | dislike
8B52 (譒):  | 
8B53 (譓):  | 
8B54 (譔): 誉める,構成する,書く | eulogize,compose,write
8B59 (譙): タワー,姓 | tower,surname
8B4D (譍): 回答 | answer
8B5E (譞):  | 
8B63 (譣):  | 
8B6D (譭): 中傷する,中傷する | to slander,to defame
8B76 (譶):  | 
8B78 (譸): 欺く,カンニング,慌しい,賑やか | deceive,cheat,hurried,bustling
8B79 (譹): 叫ぶこと,とどろき,怖がらせます,素早く | to shout,roar,terrify,swiftly
8B7C (譼): 監督する,政府の設立を閉じ込める | to supervise,to confine a government establishment
8B7E (譾): 浅い,愚か | shallow,stupid
8B81 (讁): 罰する,障害,非難 | punish,fault,blame
8B84 (讄):  | 
8B85 (讅): 詳細に知っています | know in detail
8B8B (讋): 恐れ,羨望,多弁な | fear,envy,loquacious
8B8D (讍): 正直なスピーチ | honest speech
8B8F (讏):  | 
8B94 (讔):  | 
8B95 (讕): 誣う,中傷,名誉毀損 | accuse falsely,slander,libel
8B9C (讜): 弁護士,助言,遠慮なく言う | counsel,advice,speak out
8B9E (讞): 決める,裁判官,評決,決定 | decide,judge,verdict,decision
8B9F (讟): 中傷,邪悪な言葉を口にする | slander,utter evil words
8C38 (谸):  | 
8C39 (谹):  | 
8C3D (谽): 口,オープニング | mouth,opening
8C3E (谾):  | 
8C45 (豅):  | 
8C47 (豇): 小さなインゲン | small kidney bean
8C49 (豉): 発酵した豆 | fermented beans
8C4B (豋): 儀式の容器 | ceremonial vessel
8C4F (豏): ハーフ成長豆 | half-grown beans
8C51 (豑):  | 
8C53 (豓): 綺麗な,魅惑的な,ふくよか,官能的な | beautiful,captivating,plump,voluptuous
8C54 (豔): ふくよか,官能的な,綺麗な | plump,voluptuous,beautiful
8C57 (豗): 叫び | clamour
8C58 (豘): 小豚 | small pig
8C5B (豛):  | 
8C5D (豝): 種をまく（メス豚） | sow (female pig)
8C59 (豙):  | 
8C63 (豣): 3年の豚 | pig of 3 years
8C64 (豤):  | 
8C66 (豦): イノシシ,戦いへ | wild boar,to fight
8C68 (豨): 豚,大規模な豚 | pig,large hog
8C69 (豩):  | 
8C6D (豭): イノシシ,男性の豚 | boar,male pig
8C73 (豳): 周王朝の間に（アーチ。）状態 | (arch.) state during Zhou dynasty
8C75 (豵): 若い豚 | young pig
8C76 (豶): 去勢豚 | castrate pig
8C7B (豻): 刑務所,野生の犬の種類 | prison,kind of wild dog
8C7E (豾):  | 
8C86 (貆): 小さなアナグマ,ヤマアラシ | small badger,porcupine
8C87 (貇):  | 
8C8B (貋):  | 
8C90 (貐):  | 
8C92 (貒):  | 
8C93 (貓): ネコ | cat
8C99 (貙):  | 
8C9B (貛): 狸 | badger
8C9C (貜): 猿 | ape
8CA4 (貤): ステップ,グレード,地層,シリーズ | steps,grade,strata,series
8CB9 (貹):  | 
8CBA (貺): 与える,付与,授けます,姓 | give,grant,bestow,surname
8CC5 (賅): 以下のために準備,包括的な | prepared for,inclusive
8CC6 (賆):  | 
8CC9 (賉): 施しを与える | to give alms
8CCB (賋):  | 
8CCF (賏): 真珠や貝殻つなぎ合わせ | pearls or shells strung together
8CD6 (賖):  | 
8CD5 (賕): 賄賂 | bribe
8CD9 (賙): 慈善のために与える | give for charity
8CDD (賝): 前 | previous
8CE1 (賡): 持続する | continue
8CE8 (賨): 漢王朝の下四川と雲南省の部族によって布で支払わオマージュ | tribute paid in cloth by the tribes in Szechwan and Yunnan under the Han dynasty
8CEC (賬): アカウント,ビル,債務,クレジット | accounts,bill,debt,credit
8CEF (賯):  | 
8CF0 (賰):  | 
8CF2 (賲):  | 
8CF5 (賵): 贈り物 | gift
8CF7 (賷):  | 
8CF8 (賸): 残り物,残基,遺跡 | leftovers,residue,remains
8CFE (賾): 難解な,深い,深遠 | abstruse,deep,profound
8CFF (賿):  | 
8D01 (贁): 負かす,台無しにするか、駄目になる,破損または破損している可能に | to defeat,to spoil or be spoiled,to corrupt or be corrupted
8D03 (贃): 稼ぐ,利益を作るために | to earn,to make a profit
8D09 (贉): 手付金,ブーイングに絹のラベル | earnest money,silk label on boo
8D12 (贒): 高潔な,立派な,良い,できます | virtuous,worthy,good,able
8D17 (贗): 偽造,偽 | counterfeit,false
8D1B (贛): 江西省,その中の場所 | Jiangxi province,places therein
8D65 (赥):  | 
8D69 (赩):  | 
8D6C (赬): 深い赤色 | deep red
8D6E (赮):  | 
8D7F (赿): 後半遅い,遅れがちな,遅刻,遅延に,鈍い,愚か | late slow,dilatory,tardy,to delay,dull,stupid
8D82 (趂): を活用する,自分の利用するために,従うこと,行く | to take advantage of,to avail oneself of,to follow,to go
8D84 (趄): 弱い,ラメ | weak,lame
8D88 (趈):  | 
8D8D (趍):  | 
8D90 (趐):  | 
8D91 (趑): 移動することはできません,たじろぐする | can\'t move,to falter
8D95 (趕): 追求する,続く,追い出する,追い払う | pursue,follow,expel,drive away
8D9E (趞):  | 
8D9F (趟): 時間,時,旅を取る | time,occasion,take journey
8DA0 (趠):  | 
8DA6 (趦): 移動することはできません,たじろぐする | can\'t move,to falter
8DAB (趫): 軽快 | nimble
8DAC (趬):  | 
8DAF (趯): ジャンプ | jump
8DB2 (趲): 急いで行く,急ぐ,衝動 | go in hurry,hasten,urge
8DB5 (趵): 山歩きの足のノイズ | noise of tramping feet
8DB7 (趷): 衝撃へ | to jolt
8DB9 (趹): 蹄で蹴る,馬ギャロップ | kick with hoof,horse\'s gallop
8DBB (趻):  | 
8DC0 (跀):  | 
8DC5 (跅): 不注意な,緩い,自堕落な | careless,lax,dissolute
8DC6 (跆): トランプル | trample
8DC7 (跇):  | 
8DC8 (跈):  | 
8DCA (跊):  | 
8DCE (跎): スリップ,つまずく,つまずく,揺れます | slip,stumble,falter,vacillate
8DD1 (跑): ラン,ノミ,急いで去る,トロット,繋駕速歩レース | run,flee,leave in hurry,trot,trotting
8DD4 (跔):  | 
8DD5 (跕): シャッフル | shuffle
8DD7 (跗): 足の甲 | the instep
8DD9 (跙): 弱い,ラメ | weak,lame
8DE4 (跤): つまずく,落ちる,格闘 | stumble,fall down,wrestle
8DE5 (跥): スタンプ足 | stamp feet
8DE7 (跧): しゃがむ | crouch
8DEC (跬): 進む,半分のペースに等しいストライド | to step,stride equal to half a pace
8DF0 (跰):  | 
8DBC (趼): 手や足にカルススキン,水疱 | callous skin on hands or feet,blisters
8DF1 (跱): やめる | stop
8DF2 (跲): フード,カウル,ターバン,つまずく | hood,cowl,turban,stumble
8DF4 (跴): 踏む,踏む,検索する | step on,tread on,search for
8DFD (跽):  | 
8E01 (踁):  | 
8E04 (踄):  | 
8E05 (踅):  | 
8E06 (踆): スクワット | squat
8E0B (踋): 足や足,劇のキャスト | the foot or feet,cast of a play
8E11 (踑):  | 
8E14 (踔): 出世する,ストライドする,Excelへ | to get ahead,to stride,to excel
8E16 (踖): 上踏みにじる,踏む,上を歩く | trample on,tread on,walk on
8E20 (踠): 書く,闘争,焦る | write,struggle,be impatient
8E21 (踡): カール,コイル状 | curled,coiled
8E22 (踢): キック | kick
8E23 (踣): 死亡事故になりやすい硬いをつまずきに落つ | to stumble and fall prone stiff in death
8E26 (踦): すね,ピアスへ,触る | the shin,to pierce,to touch
8E27 (踧): 不安,緊張感,レベル | uneasiness,nervousness,level
8E31 (踱): 散歩,ペース,ゆっくり歩く | stroll,pace,walk slowly
8E33 (踳):  | 
8E36 (踶): 足 | paw
8E37 (踷):  | 
8E38 (踸):  | 
8E39 (踹): トランプル,トレッド,キック | trample,tread,kick
8E3D (踽): 一人で歩く,自立的な | to walk alone,self-reliant
8E40 (蹀): スキップする,踊る,ダウン足を置くために | to skip,to dance,to put the foot down
8E41 (蹁): ぐったりと歩く | to walk with a limp
8E4B (蹋): 踏む,踏む,つまずく,スリップ | step on,tread on,stumble,slip
8E4D (蹍):  | 
8E4E (蹎):  | 
8E4F (蹏): 蹄,豚肉の脚,少し魔女の馬 | hoof,leg of pork,little witch a horse
8E54 (蹔): 一時的,つかの間の,はかない | temporary,fleeting,ephemeral
8E5B (蹛):  | 
8E5C (蹜): 慎重に歩く | walk carefully
8E5D (蹝): サンダル | sandal
8E5E (蹞):  | 
8E61 (蹡): ぐったりする,ウォーキング,動いている | to limp,walking,in motion
8E62 (蹢): 蹄,つまずく,ためらう | hoof,falter,to hesitate
8E69 (蹩): ぐったりする | to limp
8E6C (蹬): 踏む,踏む,エネルギーを失う | step on,tread on,lose energy
8E6D (蹭): 先延ばしにする,ディリー | procrastinate,dilly dally
8E6F (蹯):  | 
8E70 (蹰): ためらう,迷う,つまずく | hesitate,waver,falter
8E71 (蹱): 沿ってずらする,落下する | to stagger along,to fall
8E79 (蹹): 上のトレッドする,スタンプへ,歩く | to tread on,to stamp,to walk
8E7A (蹺): 自分の足を上げる | raise one\'s foot
8E7B (蹻): 強い,勇敢な,サンダル,靴 | strong,brave,sandals,shoes
8E82 (躂): つまずく,スリップ | stumble,slip
8E83 (躃):  | 
8E89 (躉): 販売や卸売りを購入,格納 | sell or buy wholesale,store
8E90 (躐): 跨ぐ,全体で進む | to stride over,to step across
8E92 (躒): 歩く,移動 | walk,move
8E95 (躕): ためらう,迷う,つまずく | hesitate,waver,falter
8E9A (躚): 約さまよう,歩き回る,回転する | wander about,walk around,revolve
8E9B (躛): 誇張する | exaggerate
8E9D (躝): 渡する,ステップオーバーする,忍び寄る,巻き付くする | to pass,to step over,to creep,to twine round
8E9E (躞): 歩く | to walk
8EA2 (躢):  | 
8EA7 (躧): サンダル | sandal
8EA9 (躩): クイック取る,短いステップ | take quick,short steps
8EAD (躭): 遅延に,ぶらつくする,妨げ | to delay,to loiter,to hinder
8EAE (躮):  | 
8EB3 (躳): 体,自己 | body,self
8EB5 (躵):  | 
8EBA (躺): 横になる,リクライン | lie down,recline
8EBB (躻):  | 
8EC0 (軀): 体 | body
8EC1 (軁):  | 
8EC3 (軃):  | 
8EC4 (軄): 統治する,監督する,管理する,公務を指示する,オフィス | to govern,to oversee,to manage,to direct official duty,office
8EC7 (軇):  | 
8ECF (軏): カートの極の終わりにクロスバー | cross-bar at end of poles of cart
8ED1 (軑):  | 
8ED4 (軔): 移動するホイールを保持ブロック | block that keeps wheel from moving
8EDC (軜): 手綱 | reins
8EE8 (軨): 正面と側面の格子の仕事 | lattice work on front and sides
8EEE (軮):  | 
8EF0 (軰): 馬車の列,世代,クラス,シリーズの種類,複数を表し、 | row of carriages,generation,class,series a kind,denotes the plural
8EF1 (軱):  | 
8EF7 (軷): 犠牲 | sacrifice
8EF9 (軹): 車軸の終わり,発散の | end of axle,divergent
8EFA (軺): 小さな光キャリッジ | small light carriage
8EED (軭):  | 
8F00 (輀): 霊柩車 | hearse
8F02 (輂):  | 
8F07 (輇): 無スポーク車輪 | cart wheel with no spokes
8F08 (輈): 軸 | shaft
8F0F (輏): 光,光キャリッジ | light,light carriage
8F10 (輐):  | 
8F16 (輖):  | 
8F17 (輗): キャリッジポールの終わりにクロスバー | cross bar at end of carriage pole
8F18 (輘): 車轍,カートのゴロゴロ | car-rut,rumbling of a cart
8F1E (輞): ホイールの外側リム | exterior rim of wheel
8F20 (輠): グリースポットは、車の車軸の下に吊り下げ | grease pot hung under axle of cart
8F21 (輡):  | 
8F23 (輣):  | 
8F25 (輥): 振り向く,回転する,ローラー | turn round,revolve,roller
8F27 (輧): 女性が使用するカーテンで仕切られたキャリッジ | curtained carriage used by women
8F28 (輨):  | 
8F2C (輬): 霊柩車,キャリッジ | hearse,carriage
8F2D (輭): フレキシブル,柔軟な,弱い,か弱い | flexible,pliable,weak,feeble
8F2E (輮): ホイールの外側リム | exterior rim of wheel
8F34 (輴): そり | sled
8F35 (輵): 槍や戦車の偉大な配列 | great array of spears and chariots
8F36 (輶): 光キャリッジ,些細,光 | light carriage,trifling,light
8F37 (輷):  | 
8F3A (輺):  | 
8F40 (轀): 霊柩車 | hearse
8F41 (轁):  | 
8F43 (轃):  | 
8F47 (轇): 複雑な,混乱しました,紛争 | complicated,confused,dispute
8F4F (轏): 寝カート | sleeping cart
8F51 (轑): マンネリ | rut
8F52 (轒): チャリオット | chariot
8F53 (轓):  | 
8F54 (轔): 車のゴロゴロ,しきい値 | rumbling of vehicles,threshold
8F55 (轕): 槍や戦車の偉大な配列 | great array of spears and chariots
8F58 (轘): 戦車の間でバラバラに引き裂く | tear asunder between chariots
8F5D (轝): 羨望,嫌い,嫌い,恨み | envy,hate,dislike,resentment
8F5E (轞): 囚人を輸送するための車両 | vehicle for transporting prisoners
8F65 (轥):  | 
8F9D (辝):  | 
8FA0 (辠): 犯罪,罪,バイス,悪の,苦難 | crime,sin,vice,evil,hardship
8FA1 (辡): 逆襲,口論 | recrimination,wrangling
8FA4 (辤): 言葉,スピーチ,文,表現やフレーズ,メッセージ | words,speech,sentence,expression or phrase,message
8FA5 (辥): 湿地草の様々な | variety of marsh grass
8FA6 (辦): 管理する,行う,ハンドル,扱う | manage,do,handle,deal with
8FB5 (辵): 歩く,ウォーキング | walk,walking,road radical (no. 162)
8FB6 (辶): 歩く,ウォーキング | walk,walking,road radical variant (no. 162)
8FB8 (辸):  | 
8FBE (达): 到着する,リーチ,インテリジェント,スムーズ,滑りやすい | arrive at,reach,intelligent,smooth,slippery
8FC0 (迀):  | 
8FC1 (迁): 移動,シフト,変化する,移転,首都移転 | move,shift,change,transfer,relocate a capital city
8FC6 (迆): 風,ストレートパスの外に歩く | wind,walk out of straight path
8FCA (迊): ラウンド行く,回路を作るために,革命を作るために,ラウンドオンにする | to go round,to make a circuit,to make a revolution,to turn round
8FCB (迋): 旅行,に行く,欺く,恐怖 | travel,go to,deceive,scare
8FCD (迍): つまずく,ためらう | falter,hesitate
8FD0 (运): ラン,運用漢字の簡略化した形,幸運,船,輸送 | run,simplified form of kanji for luck,fortune,ship,transport
8FD2 (迒):  | 
8FD3 (迓): 満たすために行く,受信する,ゲストとして | to go to meet,to receive,as a guest
8FD5 (迕): 頑固な,ひねくれました | obstinate,perverse
8FE0 (迠):  | 
8FE3 (迣): 以上の跳躍する | to leap over
8FE4 (迤): 風,ストレートパスの外に歩く | wind,walk out of straight path
8FE8 (迨): まで,いつ,つかむ,逮捕 | until,when,seize,arrest
8FEE (迮):  | 
8FF1 (迱):  | 
8FF5 (迵):  | 
8FF6 (迶):  | 
8FFB (迻): シフトする,乗り換え,翻訳すること | to shift,to transfer,to translate
8FFE (迾):  | 
9002 (适): 行く,リーチ,適切な,適切な | go,reach,appropriate,suitable
9004 (逄): 姓 | surname
9008 (逈): 遠く,遠く,分離しました,異なる | distant,far,separated,different
900C (逌): お願いする,にこやか,無関心な | please,smiling,complacent
9018 (逘):  | 
901B (逛): ランブル,散歩,ローム,さまよう | ramble,stroll,roam,wander
9028 (逨):  | 
9029 (逩): すぐに実行する | to run quickly
902F (逯): 理由もなく去る,姓 | leave without reason,surname
902A (逪):  | 
902C (逬): 散布へ,追放する,亀裂へ,分割する,ジャンプする | to scatter,to expel,to crack,to split,to jump
902D (逭): から脱出する,逃げる,避けるために | to escape from,to flee,to avoid
9033 (逳):  | 
9034 (逴): 主張する,けんか,つまらないけんか,遠く | argue,quarrel,squabble,far
9037 (逷): 遠く,遠く | distant,far away
903F (逿):  | 
9043 (遃):  | 
9044 (遄): 急ぐ,行くとあちこちにする | to hurry,to go to and fro
904C (遌):  | 
905B (遛): 散歩をする,散歩 | take walk,stroll
905D (遝): ミックス,豊富な,詰め合わせ | mixed,abundant,assorted
9062 (遢): 不注意な,怠慢,手を抜きました | careless,negligent,slipshod
9066 (遦):  | 
9067 (遧):  | 
906C (遬):  | 
9070 (遰): 豚のブタの鳴き声のような音,衝突 | grunting sound of pigs,clash
9074 (遴): 選択する,選ぶ,姓 | select,choose,surname
9079 (遹): に適応,従う,避けます,避ける | comply with,obey,shun,avoid
9085 (邅): ためらって,よろめいています | hesitant,faltering
9088 (邈): 遠く,遠く,リモート,わずかな | far,distant,remote,slight
908B (邋): 古着 | rags
908C (邌): パレード,ゆっくり歩く | parade,walk slowly
908E (邎):  | 
9090 (邐): 蛇行,巻き取り | meandering,winding
9095 (邕): ナニーの元や文学名前 | former or literary name for Nann
9097 (邗): 呉の状態にある古代場所 | an ancient place in the state of Wu
9098 (邘): 河南省の状態 | state in Henan province
9099 (邙): 河南省の山 | mountain in Henan province
909B (邛): 苦しんでう,マウンド | in distress,mound
90A0 (邠): 陝西省の郡 | county in Shaanxi province
90A1 (邡):  | 
90A2 (邢): 姓,今日の河北省での状態 | surname,state in today\'s Hebei
90A5 (邥):  | 
90B0 (邰): 姓,今日の陝西省の状態 | surname,state in today\'s Shaanxi
90B2 (邲): ハンサム,場所の名前 | good-looking,name of a place
90B3 (邳): 呂州の部門,今シャンタンまたはN、中国が何であるかで | department in the State of Lu, in what is now Shantung or N. China
90B4 (邴): 今山東あるものでソングの古代国家の都市の名前,喜んで | name of a city in the ancient state of Song in what is now Shandong,pleased
90B6 (邶): 今日の河南省の場所 | place in today\'s Henan province
90BD (邽): 漢王朝における郡の名前 | name of a county in Han dynasty
90CC (郌): 現代の甘粛省/陝西地域の古代シェンロンの名前 | name of an ancient Hsien in modern Gansu/Shaanxi area
90BE (邾): 700から469 BC存在していた封建的な状態,今山東省 | feudal state which existed BC 700-469, now in Shandong
90C3 (郃): 陝西省の郡 | county in Shaanxi province
90C4 (郄): 姓 | surname
90C5 (郅): まで行く,最上級の繁栄 | to go up to,flourishing a superlative
90C7 (郇): 陝西省の古代封建国家 | an ancient feudal State in Shaanxi
90C8 (郈): 山東省の場所 | place in Shandong province
90D5 (郕): 山東省の状態 | state in Shandong province
90D7 (郗): 周Dynの下に都市。,姓 | city under the Chou Dyn.,surname
90D8 (郘):  | 
90D9 (郙): 追放する,支払いを遅らせます | to be exiled,delay payment for
90DC (郜): 山東省の領地の名前は、温家宝王の長男に授け | name of fief in Shandong bestowed on the eldest son of Wen Wang
90DD (郝): 姓,今日の山西省での場所 | surname,place in today\'s Shanxi
90DF (郟): 河南省の郡,姓 | county in Henan province,surname
90E5 (郥):  | 
90D2 (郒):  | 
90F6 (郶):  | 
90EB (郫):  | 
90EF (郯): 今シャンタンとこうその一部であるものの中に位置していた小さな古代公国の名前 | name of a small ancient principality which was situated in what is now part of Shantung and Kiangsu
90F0 (郰): 孔子の生誕地,Shantongに置く | birthplace of Confucius,place in Shantong
90F4 (郴): 湖南省の郡,姓 | county in Hunan province,surname
90FE (郾): 河南省の郡 | county in Henan province
90FF (郿): 陝西省の郡 | county in Shaanxi province
9100 (鄀): 河南省の状態 | state in Henan province
9104 (鄄):  | 
9105 (鄅):  | 
9106 (鄆): 姓,古代の町\ 'sの名前 | surname,an ancient town\'s name
9108 (鄈): スリッパ,サンダル,ダンスシューズ | slippers,sandals,dance shoes
910D (鄍): 山東省にある町 | town in Shandong province
9110 (鄐): 河南省の町 | town in Henan province
9114 (鄔): さまざまな場所の名前,姓,サンスクリット語のuの音訳 | various place names,surname,transliteration of Sanskrit "u"
9116 (鄖): 湖北省の郡 | county in Hubei province
9117 (鄗): 河北省の郡 | county in Hebei province
9118 (鄘): 河南省の状態 | state in Henan province
911A (鄚): 今日の河北省の場所 | place in today\'s Hebei province
911C (鄜): 陝西省の郡 | county in Shaanxi province
911E (鄞): 浙江省の郡 | county in Zhejiang province
9120 (鄠): 陝西省の郡 | county in Shaanxi province
9125 (鄥):  | 
9122 (鄢): Honan中地区の名前 | name of a district in Honan
9123 (鄣): N.江蘇省の古代都市の名前,山東近く | name of ancient city in N. Jiangsu,near Shandong
9127 (鄧): 姓 | surname
9129 (鄩): 山東省の郡 | county in Shandong province
912E (鄮):  | 
912F (鄯): 唐王朝の間の甘粛省で地区 | district in Gansu during the Tang dynasty
9131 (鄱): 江西省の郡と湖 | county and lake in Jiangxi
9134 (鄴): 今日の湖南省の場所 | place in today\'s Honan province
9136 (鄶): 今日の河南省での状態 | state in today\'s Henan province
9137 (鄷):  | 
9139 (鄹): 状態の名前,姓 | name of a state,surname
913A (鄺): 姓 | surname
913C (鄼):  | 
913D (鄽):  | 
9143 (酃): ビーイングの精神,他人の精神に作用する,神,有効な | the spirit of a being,which acts upon others spirit,divine,efficacious
9147 (酇): 収集する,小さな管理 | collect,small administration
9148 (酈): 今日の河南省の場所 | place in today\'s Henan province
914F (酏): キビのワイン | millet wine
9153 (酓):  | 
9157 (酗): 酔っぱらい,アルコールの影響下に暴力的になるために | drunk,to become violent under the influence of alcohol
9159 (酙):  | 
915A (酚): 石炭酸,フェノール | carbolic acid,phenol
915B (酛):  | 
9161 (酡): フラッシュ,赤ら顔の | flushed,rubicund
9164 (酤): 霊に対処する | to deal in spirits
9167 (酧): ワインと誓約する | to pledge with wine
916D (酭):  | 
9174 (酴): パン種,酵母,ワイン | leaven,yeast,wine
9179 (酹): 神酒を注ぐする,振りかけるする | to pour out a libation,to sprinkle
917A (酺): 他の人と飲む,深酒をする | drink with others,drink heavily
917B (酻):  | 
9181 (醁): 緑色のワインの種類 | kind of green-colored wine
9183 (醃): マリネ,ピクルス,塩 | marinate,pickle,salt
9185 (醅): 歪みのないスピリッツ | unstrained spirits
9186 (醆): 杯 | wine cup
918A (醊): 神酒にワインを注ぐする | to pour wine in a libation
918E (醎):  | 
9191 (醑): 霊株にする | to strain spirits
9193 (醓): 塩漬け肉,漬け肉から塩水 | salted meat,brine from pickled meat
9194 (醔):  | 
9195 (醕):  | 
9198 (醘):  | 
919E (醞): 酒,スピリッツ,ワイン,発酵 | liquor,spirits,wine,fermentation
91A1 (醡): ブドウ絞り器 | wine press
91A6 (醦):  | 
91A8 (醨): ワインのかす | dregs of wine
91AC (醬): 任意のジャム状またはペースト状の食品 | any jam-like or paste-like food
91AD (醭): 液体にカビ,あく | moulds on liquids,scum
91AE (醮): 宗教的なサービス（道教や仏教） | religious service (Taoist or Buddhist)
91B0 (醰): ワインで苦味,リッチ,風味豊か | bitter taste in wine,rich,full flavoured
91B1 (醱): 二度目の醸造する | to brew for the second time
91B2 (醲): 強いワイン,密集,厚い | strong wine,dense,thick
91B3 (醳):  | 
91B6 (醶):  | 
91BB (醻):  | 
91BC (醼): オファー料理とワイン1 \ 'sのゲスト | offer food and wine one\'s guests
91BD (醽): ワインの種類 | kind of wine
91BF (醿):  | 
91C2 (釂): ドレイン | drain
91C3 (釃): 歪み | strain
91C5 (釅): 厚い,強い（飲料） | thick,strong (beverage)
91D3 (釓): ガドリニウム（要素） | Gadolinium (element)
91D4 (釔): イットリウム（要素） | Yttrium (element)
91D7 (釗): 努力,努力する,奨励する,カット | endeavor,strive,encourage,cut
91D9 (釙): ポロニウム（要素） | Polonium (element)
91DA (釚):  | 
91DE (釞):  | 
91E4 (釤): サマリウム（要素） | Samarium (element)
91E5 (釥):  | 
91E9 (釩): バナジウム（要素） | Vanadium (element)
91EA (釪): 托鉢の鉢,小さな鐘 | alms bowl,small bell
91EC (釬): 半田 | solder
91ED (釭): 車輪のタイヤ,バンド | tire of wheel,band
91EE (釮):  | 
91EF (釯): 剣先,鋭くとがった先 | point of sword,sharp point
91F0 (釰):  | 
91F1 (釱): 足枷,足枷に | fetters,to fetter
91F7 (釷): トリウム（要素） | Thorium (element)
91F9 (釹): ネオジム（元素） | Neodymium (element)
91FB (釻):  | 
91FD (釽): フォークをhoeing農家 | farmer\'s hoeing fork
9200 (鈀): パラジウム（要素） | Palladium (element)
9201 (鈁): フランシウム（要素） | Francium (element)
9204 (鈄): ワインフラゴン | wine flagon
9205 (鈅):  | 
9206 (鈆): 鉛 | lead
9207 (鈇): 斧,斧 | axe,hatchet
9209 (鈉): ナトリウム（要素）,ナトリウム,木材を研ぐ | Sodium (element),natrium,sharpen wood
920A (鈊):  | 
920C (鈌): ピアスへ,刺すへ,取る | to pierce,to stab,to take
9210 (鈐): ロック,ラッチ,切手,シール | lock,latch,stamp,seal
9212 (鈒): 槍 | spear
9213 (鈓):  | 
9216 (鈖):  | 
9218 (鈘):  | 
921C (鈜):  | 
921D (鈝):  | 
9223 (鈣): カルシウム（要素） | Calcium (element)
9224 (鈤): ゲルマニウム（元素） | Germanium (element)
9225 (鈥): ホルミウム（要素） | Holmium (element)
9226 (鈦): チタン（要素） | Titanium (element)
9228 (鈨):  | 
922E (鈮): ニオブ（要素） | Niobium (element)
922F (鈯):  | 
9230 (鈰): セリウム（要素）,セレン | Cerium (element),Selenium
9233 (鈳): コロンビウム（要素）,ニオブ | Columbium (element),niobium
9235 (鈵):  | 
9236 (鈶): タリウム（要素） | Thallium (element)
9238 (鈸): シンバル | cymbals
9239 (鈹): ベリリウム（要素） | Beryllium (element)
923A (鈺): 希少な宝物 | rare treasure
923C (鈼):  | 
923E (鈾): ウラン（要素） | Uranium (element)
9240 (鉀): カリウム（要素）,カリウム | Potassium (element),kalium
9242 (鉂):  | 
9243 (鉃):  | 
9246 (鉆):  | 
9247 (鉇):  | 
924A (鉊):  | 
924D (鉍): ビスマス（要素） | Bismuth (element)
924E (鉎):  | 
924F (鉏): 鍬,根絶する,取り除く | hoe,eradicate,eliminate
9251 (鉑): プラチナ（要素）,金属の薄いシート | Platinum (element),thin sheet of metal
9258 (鉘):  | 
9259 (鉙):  | 
925C (鉜):  | 
925D (鉝):  | 
9260 (鉠):  | 
9261 (鉡):  | 
9265 (鉥): 針 | needle
9267 (鉧):  | 
9268 (鉨):  | 
9269 (鉩):  | 
926E (鉮):  | 
926F (鉯):  | 
9270 (鉰):  | 
9275 (鉵):  | 
9276 (鉶): 犠牲大釜 | sacrificial cauldron
9277 (鉷): 引き金 | trigger
9278 (鉸): ヒンジ,ばさみ,はさみ | hinge,shears,scissors
9279 (鉹):  | 
927B (鉻): クロム（要素） | Chromium (element)
927C (鉼): プレート | plate
927D (鉽):  | 
927F (鉿): ハフニウム（要素） | Hafnium (element)
9288 (銈):  | 
9289 (銉):  | 
928A (銊):  | 
